#"+ Scan (rt: 4.163-4.411 min, 16 scans) MDM2C F86.d  Deconvoluted (Isotope Width=1.0)"
#Point,X(Daltons),Y(Counts)
411,2205.50,0.000746086880099028
412,2206.00,0.00279297237284482
413,2206.50,0.00882956851273775
414,2207.00,0.00694466941058636
415,2207.50,0.00183725159149617
416,2208.00,0.00102270406205207
417,2208.50,0.00253421720117331
418,2209.00,0.00588773796334863
419,2209.50,0.00535261258482933
420,2210.00,0.00366074033081532
421,2210.50,0.00253336457535625
422,2211.00,0.0014111390337348
423,2211.50,0.000986488536000252
424,2212.00,0.00168031605426222
425,2212.50,0.00449449103325605
426,2213.00,0.00735215656459332
427,2213.50,0.00561352027580142
428,2214.00,0.00275419047102332
429,2214.50,0.00155897927470505
430,2215.00,0.00145501003134996
431,2215.50,0.00171853741630912
432,2216.00,0.00171107519418001
433,2216.50,0.00127244857139885
434,2217.00,0.000828566146083176
435,2217.50,0.000792626990005374
436,2218.00,0.00154508673585951
437,2218.50,0.00388726289384067
438,2219.00,0.00592293776571751
439,2219.50,0.00516902934759855
440,2220.00,0.00648496020585299
441,2220.50,0.0105090327560902
442,2221.00,0.00750770466402173
443,2221.50,0.00286779412999749
444,2222.00,0.00146617600694299
445,2222.50,0.00158766377717257
446,2223.00,0.00336646405048668
447,2223.50,0.0115783857181668
448,2224.00,0.0425265766680241
449,2224.50,0.0793417096138
450,2225.00,0.0685633942484856
451,2225.50,0.0430773235857487
452,2226.00,0.0233460869640112
453,2226.50,0.0164361353963614
454,2227.00,0.0236077774316072
455,2227.50,0.045795626938343
456,2228.00,0.125258013606071
457,2228.50,0.297288209199905
458,2229.00,0.206185340881348
459,2229.50,0.0758832842111588
460,2230.00,0.062479492276907
461,2230.50,0.132187068462372
462,2231.00,0.382655262947083
463,2231.50,0.677900850772858
464,2232.00,0.336880475282669
465,2232.50,0.0424859188497066
466,2233.00,0.00322762690484524
467,2233.50,0.000632110226433724
468,2234.00,0.00080818502465263
469,2234.50,0.00302224094048142
470,2235.00,0.00617258809506893
471,2235.50,0.00380392838269472
472,2236.00,0.00151953031308949
473,2236.50,0.00116223003715277
474,2237.00,0.001871885266155
475,2237.50,0.00264979479834437
476,2238.00,0.00151688454207033
477,2238.50,0.000662587583065033
478,2239.00,0.000861297070514411
